Subzone,Planning_area
Pasir Ris Wafer Fab Park (Pasir Ris West),Pasir Ris
Pasir Ris West (Elias),Pasir Ris
Airport Road,Paya Lebar
Paya Lebar East,Paya Lebar
Paya Lebar North,Paya Lebar
Paya Lebar West,Paya Lebar
Plab,Paya Lebar
Benoi Sector,Pioneer
Gul Basin,Pioneer
Gul Circle,Pioneer
Joo Koon,Pioneer
Pioneer Sector,Pioneer
Coney Island,Punggol
Matilda,Punggol
Northshore,Punggol
Punggol Canal (incl. Coney Island),Punggol
Punggol Field,Punggol
Punggol Town Centre,Punggol
Waterway East,Punggol
Commonwealth,Queenstown
Dover,Queenstown
Ghim Moh,Queenstown
Holland Village,Queenstown
Holland Drive,Queenstown
Kent Ridge,Queenstown
Margaret Drive,Queenstown
Mei Chin,Queenstown
National University of Singapore,Queenstown
one-north,Queenstown
One North,Queenstown
Pasir Panjang,Queenstown
Port,Queenstown
Queensway,Queenstown
Singapore Polytechnic,Queenstown
Tanglin Halt,Queenstown
Institution Hill,River Valley
Leonie Hill,River Valley
One Tree Hill,River Valley
Oxley,River Valley
Paterson,River Valley
Bencoolen,Rochor
Farrer Park,Rochor
Kampong Glam,Rochor
Little India,Rochor
Mackenzie,Rochor
Mount Emily,Rochor
Rochor Canal,Rochor
Selegie,Rochor
Sungei Road,Rochor
Victoria,Rochor
Pulau Punggol Barat,Seletar
Pulau Punggol Timor,Seletar
Seletar,Seletar
Seletar Aerospace Park,Seletar
Admiralty,Sembawang
Sembawang Central,Sembawang
Sembawang East,Sembawang
Sembawang North,Sembawang
Sembawang Springs,Sembawang
Sembawang Straits,Sembawang
Senoko North,Sembawang
Senoko South,Sembawang
The Wharves,Sembawang
Anchorvale (Buangkok),Seng Kang
Compassvale (Trafalgar),Seng Kang
Fernvale (Jalan Kayu East),Seng Kang
Lorong Halus North (Sungei Serangoon East),Seng Kang
Rivervale (Sungei Serangoon West),Seng Kang
Sengkang Town Centre,Seng Kang
Sengkang West (Jalan Kayu West),Seng Kang
Lorong Chuan,Serangoon
Seletar Hills,Serangoon
Serangoon Central,Serangoon
Serangoon Garden,Serangoon
Serangoon North,Serangoon
Serangoon North Ind Estate,Serangoon
Upper Paya Lebar,Serangoon
Pulau Seletar,Simpang
Simpang North,Simpang
Simpang South,Simpang
Tanjong Irau,Simpang
Boat Quay,Singapore River
Clarke Quay,Singapore River
Robertson Quay,Singapore River
Sentosa,Southern Islands
Southern Group,Southern Islands
Gali Batu (Mandai),Sungei Kadut
Kranji,Sungei Kadut
Pang Sua,Sungei Kadut
Reservoir View,Sungei Kadut
Turf Club,Sungei Kadut
Simei,Tampines
Tampines East,Tampines
Tampines North,Tampines
Tampines West,Tampines
Xilin,Tampines
Chatsworth,Tanglin
Nassim,Tanglin
Ridout,Tanglin
Tyersall,Tanglin
Brickland,Tengah
Forest Hill,Tengah
Garden,Tengah
Park,Tengah
Plantation,Tengah
Tengah Industrial Estate,Tengah
Bidadari,Toa Payoh
Boon Teck,Toa Payoh
Braddell,Toa Payoh
Joo Seng,Toa Payoh
Kim Keat,Toa Payoh
Lorong 8 Toa Payoh (Kallang),Toa Payoh
Pei Chun,Toa Payoh
Potong Pasir,Toa Payoh
Sennett,Toa Payoh
Toa Payoh Central,Toa Payoh
Toa Payoh West (Marymount),Toa Payoh
Woodleigh,Toa Payoh
Tengeh,Tuas
Tuas Bay,Tuas
Tuas North (Pioneer),Tuas
Tuas Promenade,Tuas
Tuas View,Tuas
Tuas View Extension (Coast),Tuas
Jurong Island and Bukom,Western Islands
Semakau,Western Islands
Sudong,Western Islands
Bahar,Western Water Catchment
Cleantech,Western Water Catchment
Murai,Western Water Catchment
Greenwood Park,Woodlands
Midview,Woodlands
North Coast,Woodlands
Senoko West,Woodlands
Woodgrove,Woodlands
Woodlands East,Woodlands
Woodlands Regional Centre,Woodlands
Woodlands South,Woodlands
Woodlands West,Woodlands
Khatib,Yishun
Lower Seletar,Yishun
Nee Soon,Yishun
Northland,Yishun
Springleaf,Yishun
Yishun Central,Yishun
Yishun East,Yishun
Yishun South,Yishun
Yishun West,Yishun
